no,Folder(NamePlant),Giới (Kingdom),Nhánh (Clade),Không phân hạng,Bộ (Order),Họ (Family),Chi (Genus),Loài,Số lượng ảnh,Mô tả
2494,Justicia_neesiana,,,,,,,,100,Aphelandra là chi thực vật có hoa trong họ Acanthaceae.
2495,Kadsura_coccinea,Plantae,,"Angiospermae
không xếp",Austrobaileyales,Schisandraceae,Kadsura,K. coccinea,100,"Không nhầm với cây ngũ vị tử nam có tên khoa học Kadsura longipedunculata hay cây nê rừng Annona reticulata.Cây nắm cơm hay na rừng, na dây, dây xưn xe, re pa, po po (danh pháp: Kadsura coccinea), đôi khi cũng được gọi là ngũ vị tử nam là một loài thực vật có hoa trong họ Schisandraceae. Loài này được (Lem.) A.C.Sm. miêu tả khoa học đầu tiên năm 1947."
2496,Kadsura_logipedunculata,,,,,,,,100,"Không nhầm với dây nắm cơm có tên khoa học là Kadsura coccinea.Ngũ vị tử nam (danh pháp: Kadsura longipedunculata), đôi khi cũng gọi là na leo hay dây nắm cơm là một loài thực vật có hoa trong họ Schisandraceae. Loài này được Finet & Gagnep. miêu tả khoa học đầu tiên năm 1906."
2497,Kaempferia_angustifolia,Plantae,,"Angiospermae
Monocots
Commelinids",Zingiberales,Zingiberaceae,Kaempferia,K. angustifolia,100,Địa liền lá hẹp (danh pháp: Kaempferia angustifolia) là một loài thực vật có hoa trong họ Gừng. Loài này được William Roscoe miêu tả khoa học đầu tiên năm 1807.
2498,Kaempferia_cochinchinensis,Plantae,,"Angiospermae
Monocots
Commelinids",Zingiberales,Zingiberaceae,Boesenbergia,B. rotunda,100,"Bồng nga truật, cam địa la, lưỡi cọp, ngải bún hay củ ngải (danh pháp khoa học: Boesenbergia rotunda) là một loài thực vật có hoa trong họ Gừng. Loài này được Carl Linnaeus mô tả khoa học đầu tiên năm 1753 dưới danh pháp Curcuma rotunda. Năm 1958, Rudolf Mansfeld chuyển nó sang chi Boesenbergia."
2499,Kaempferia_fallax,Plantae,,"Angiospermae
Monocots
Commelinids",Zingiberales,Zingiberaceae,Kaempferia,K. fallax,100,Kaempferia fallax là một loài thực vật có hoa trong họ Gừng. Loài này được Gagnep. mô tả khoa học đầu tiên năm 1903.
2500,Kaempferia_pulchra,,,,,,,,100,"Chi Địa liền (tên khoa học Kaempferia) là một chi thực vật thuộc họ Gừng. Chúng thường được tìm thấy ở Trung Quốc, Ấn Độ, và Đông Nam Á."
2501,Kalanchoe_blossfeldiana,Plantae,,"Angiospermae
Eudicots",Saxifragales,Crassulaceae,Kalanchoe,K. blossfeldiana,100,Kalanchoe blossfeldiana là một loài thực vật có hoa trong họ Crassulaceae. Loài này được Poelln. miêu tả khoa học đầu tiên năm 1934.
2502,Kalanchoe_integra,Plantae,,"Angiospermae
Eudicots",Saxifragales,Crassulaceae,Kalanchoe,K. integra,100,Kalanchoe integra là một loài thực vật có hoa trong họ Crassulaceae. Loài này được (Medik.) Kuntze miêu tả khoa học đầu tiên năm 1891.
2503,Kalanchoe_mortagei,Plantae,,"Angiospermae
Eudicots",Saxifragales,Crassulaceae,Kalanchoe,K. mortagei,100,Kalanchoe mortagei là một loài thực vật có hoa trong họ Crassulaceae. Loài này được Raym.-Hamet & H. Perrier miêu tả khoa học đầu tiên năm 1948.
2504,Kalanchoe_tubiflora,,,,,,,,100,"Cây trường sinh vằn (danh pháp hai phần: Kalanchoe delagoensis) là một loài cây mọng nước, bản địa của Madagascar. Cũng như các loài khác thuộc nhóm Bryophyllum thuộc chi Kalanchoe, K. delagoensis có khả năng sinh sản sinh dưỡng bằng lá rất tốt, đây cũng là nguồn gốc cho tên gọi của loài này trong nhiều ngôn ngữ.
K. delagoensis là một loài xâm thực, nó chứa cardiac glycosid có thể gây chứng khó thở tim, nhất là trên các động vật ăn cỏ. Trong năm 1997, 125 con bò đã bị chết do ăn phải lá cây trường sinh vằn ở một khu vực gần Moree, bang New South Wales, Australia."
2505,Karomia_fragrans,Plantae,,"Angiospermae
Eudicots",Lamiales,Lamiaceae,Karomia,K. fragrans,100,Karomia fragrans là một loài thực vật có hoa trong họ Hoa môi. Loài này được Dop mô tả khoa học đầu tiên năm 1932.
2506,Kerriochloa_siamensis,Plantae,,"Angiospermae
Monocots",Poales,Poaceae,Kerriochloa,K. siamensis,100,Kerriochloa siamensis là một loài thực vật có hoa trong họ Hòa thảo. Loài này được C.E.Hubb. mô tả khoa học đầu tiên năm 1951.
2507,Keteleeria_evelyniana,Plantae,,Gymnospermae,Pinales,Pinaceae,Keteleeria,K. evelyniana,100,Du sam hay du sam núi đất (danh pháp: Keteleeria evelyniana) là một loài thực vật hạt trần trong họ Thông. Loài này được Mast. miêu tả khoa học đầu tiên năm 1903.
2508,Khaya_senegalensis,Plantae,,"Angiospermae
Eudicots
Rosids",Sapindales,Meliaceae,Khaya,K. senegalensis,98,"Xà cừ hay sọ khỉ, quả gỗ  (danh pháp hai phần: Khaya senegalensis) là một loại cây thuộc Họ Xoan (Meliaceae). Xà cừ mọc tự nhiên ở Bénin, Burkina Faso, Cameroon, Cộng hòa Trung Phi, Tchad, Bờ Biển Ngà, Gabon, Gambia, Ghana, Guinée, Guinea-Bissau, Mali, Niger, Nigeria, Sénégal, Sierra Leone, Sudan, Togo, và Uganda."
2509,Kibatalia_macrophylla,Plantae,,"Angiospermae
Eudicots",Gentianales,Apocynaceae,Kibatalia,K. macrophylla,100,Kibatalia macrophylla là một loài thực vật có hoa trong họ La bố ma. Loài này được (Pierre ex Hua) Woodson mô tả khoa học đầu tiên năm 1936.
2510,Kinabaluchloa_wrayi,Plantae,,"Angiospermae
Monocots",Poales,Poaceae,Kinabaluchloa,K. wrayi,100,"Tre lông Bidoup, tên khoa học Kinabaluchloa wrayi, là một loài thực vật có hoa trong họ Hòa thảo. Loài này được Otto Stapf mô tả lần đầu tiên năm 1893 dưới danh pháp Bambusa wrayi. Năm 1993, Khoon Meng Wong định nghĩa chi mới Kinabaluchloa và chuyển loài này sang chi mới tạo ra."
2511,Knema_elegans,Plantae,,"Angiospermae
Magnoliidae",Magnoliales,Myristicaceae,Knema,K. elegans,100,Knema elegans là một loài thực vật có hoa trong họ Myristicaceae. Loài này được Warb. mô tả khoa học đầu tiên năm 1897.
2512,Knema_globularia,Plantae,,"Angiospermae
Magnoliidae",Magnoliales,Myristicaceae,Knema,K. globularia,100,Knema globularia là một loài thực vật có hoa trong họ Myristicaceae. Loài này được (Lam.) Warb. mô tả khoa học đầu tiên năm 1897.
2513,Knema_pachycarpa,Plantae,,"Angiospermae
Magnoliid",Magnoliales,Myristicaceae,Knema,K. pachycarpa,100,Knema pachycarpa là loài thực vật thuộc họ Nhục đậu khấu. Đây là loài đặc hữu của Việt Nam.
2514,Knema_pierrei,Plantae,,"Angiospermae
Magnoliid",Magnoliales,Myristicaceae,Knema,K. pierrei,100,Knema pierrei là loài thực vật thuộc họ Nhục đậu khấu. Đây là loài đặc hữu của Việt Nam.
2515,Knema_squamulosa,Plantae,,"Angiospermae
Magnoliid",Magnoliales,Myristicaceae,Knema,K. squamulosa,100,Knema squamulosa là loài thực vật thuộc họ Nhục đậu khấu. Đây là loài đặc hữu của Việt Nam.
2516,Koilodepas_longifolium,Plantae,,"Angiospermae
Eudicots",Malpighiales,Euphorbiaceae,Koilodepas,K. longifolium,84,Koilodepas longifolium là một loài thực vật có hoa trong họ Đại kích. Loài này được Hook.f. mô tả khoa học đầu tiên năm 1887.
2517,Kopsia_cochinchinensis,,,,,,,,100,"Ngọc bút hay còn gọi bánh hỏi, lài trâu, lài trâu bánh hỏi, lài tây (danh pháp khoa học: Tabernaemontana divaricata) là một loài thực vật có hoa trong họ La bố ma. Loài này được (L.) R.Br. ex Roem. & Schult. miêu tả khoa học đầu tiên năm 1819."
2518,Kopsia_harmandiana,Plantae,,"Angiospermae
Eudicots",Gentianales,Apocynaceae,Kopsia,K. harmandiana,99,Kopsia harmandiana là một loài thực vật có hoa trong họ La bố ma. Loài này được Pierre ex Pit. mô tả khoa học đầu tiên năm 1933.
2519,Kopsia_tonkinensis,Plantae,,"Angiospermae
Eudicots",Gentianales,Apocynaceae,Kopsia,K. tonkinensis,100,Cốp Bắc Bộ (danh pháp: Kopsia tonkinensis) là một loài thực vật có hoa trong họ La bố ma. Loài này được Pit. mô tả khoa học đầu tiên năm 1934.
2520,Korthalsia_laciniosa,Plantae,,"Angiospermae
Monocots
Commelinids",Arecales,Arecaceae,Korthalsia,K. laciniosa,100,Mây tầm vông (danh pháp khoa học: Korthalsia laciniosa) là loài thực vật có hoa thuộc họ Arecaceae. Loài này được (Griff.) Mart. mô tả khoa học đầu tiên năm 1845.
2521,Kummerowia_stipulacea,Plantae,,"Angiospermae
Eudicots
Rosids",Fabales,Fabaceae,Kummerowia,K. stipulacea,100,Kummerowia stipulacea là một loài thực vật có hoa trong họ Đậu. Loài này được (Maxim.) Makino miêu tả khoa học đầu tiên.
2522,Kydia_calycina,Plantae,,"Angiospermae
Eudicots
Rosids",Malvales,Malvaceae,Kydia,K. calycina,100,Kydia calycina là một loài thực vật có hoa trong họ Cẩm quỳ. Loài này được Roxb. mô tả khoa học đầu tiên năm 1819.
2523,Kyllinga_curvispiculosa,Plantae,,"Angiospermae
Monocots",Poales,Cyperaceae,Kyllinga,K. curvispiculosa,100,Kyllinga curvispiculosa là loài thực vật có hoa trong họ Cói. Loài này được (T.Koyama) P.H.Hô mô tả khoa học đầu tiên năm 1993.
2524,Kyllinga_nemoralis,Plantae,,"Angiospermae
Monocots",Poales,Cyperaceae,Kyllinga,K. nemoralis,98,"Cỏ bạc đầu, hay cỏ đầu tròn, thủy ngô công, pó dều dều, còn gọi là bạch đầu ông, (danh pháp Kyllinga nemoralis) là loài thực vật có hoa trong họ Cói. Loài này được (J.R.Forst. & G.Forst.) Dandy ex Hutch. và Dalziel (K. monocephala Rottb) mô tả khoa học đầu tiên năm 1936."
2525,Kyllinga_polyphylla,Plantae,,"Angiospermae
Monocots",Poales,Cyperaceae,Kyllinga,K. polyphylla,100,Kyllinga polyphylla là loài thực vật có hoa trong họ Cói. Loài này được Willd. ex Kunth mô tả khoa học đầu tiên năm 1837.
2526,Lablab_purpureus,Plantae,,,Fabales,Fabaceae,Lablab,L. purpureus,100,"Đậu ván (tên khoa học: Lablab purpureus) là cây họ Đậu được trồng nhiều ở các nước nhiệt đới để dùng làm thực phẩm, đặc biệt là ở châu Phi, Ấn Độ, Indonesia và Việt Nam. Đậu ván gồm hai giống là đậu ván trắng và đậu ván tím (dựa trên màu sắc của hoa và của quả, hạt). Các bộ phận được sử dụng làm thực phẩm là quả và hạt.
Quả đậu ván còn xanh được dùng tương tự đậu cô ve để xào hoặc luộc. Hạt đậu ván già thường dùng để nấu chè (món ăn), ở Huế gọi là chè đậu ván. Ở một số vùng quê Việt Nam, lá đậu ván được dùng để nhuộm màu bánh chưng. Trong hạt đậu ván khô có chứa độc tố glucozit dưới dạng xyanua với nồng độ cao, do đó chỉ ăn được sau khi luộc hạt đậu trong một thời gian. Cây đậu ván cũng được sử dụng làm thức ăn cho gia súc  và còn được trồng làm cảnh. Ngoài ra, cây đậu ván còn được dùng làm thuốc."
2527,Lactuca_denticulata,Plantae,,"Angiospermae
Eudicots",Asterales,Asteraceae,Lactuca,L. denticulata,100,Lactuca denticulata là một loài thực vật có hoa trong họ Cúc. Loài này được (Houtt.) Maxim. mô tả khoa học đầu tiên năm 1874.
2528,Lactuca_graciliflora,Plantae,,"Angiospermae
Eudicots",Asterales,Asteraceae,Lactuca,L. graciliflora,99,Lactuca graciliflora là một loài thực vật có hoa trong họ Cúc. Loài này được Wall. ex DC. mô tả khoa học đầu tiên năm 1838.
2529,Lactuca_indica,Plantae,"Tracheophyta
Angiospermae
Eudicots
Asterids",,Asterales,Asteraceae,Lactuca,L. indica,100,"Diếp dại hay diếp hoang, diếp trời, bồ cóc, bồ công anh mũi mác, mót mét, mũi mác, rau mũi cày (danh pháp hai phần: Lactuca indica) là một loài cây thân thảo thuộc họ Cúc (Asteraceae), sống một năm hoặc hai năm."
2530,Lactuca_repens,Plantae,,"Angiospermae
Eudicots",Asterales,Asteraceae,Lactuca,L. repens,100,Lactuca repens là một loài thực vật có hoa trong họ Cúc. Loài này được (L.) Benth. & Hook.f. mô tả khoa học đầu tiên năm 1873.
2531,Lactuca_sororia,Plantae,,"Angiospermae
Eudicots",Asterales,Asteraceae,Lactuca,L. sororia,100,Lactuca sororia là một loài thực vật có hoa trong họ Cúc. Loài này được Miq. mô tả khoa học đầu tiên năm 1865.
2532,Lagenaria_siceraria,Plantae,,"Angiospermae
Eudicots",Cucurbitales,Cucurbitaceae,Lagenaria,L. siceraria,100,"Bầu, tên khoa học Lagenaria siceraria, là một loài thực vật có hoa trong họ Bầu bí (Cucurbitaceae). Loài này được (Molina) Standl. miêu tả khoa học đầu tiên năm 1930."
2533,Lagerstroemia_balansae,Plantae,,"Angiospermae
Eudicots",Myrtales,Lythraceae,Lagerstroemia,L. balansae,100,Lagerstroemia balansae là một loài thực vật có hoa trong họ Lythraceae. Loài này được Koehne mô tả khoa học đầu tiên năm 1897.
2534,Lagerstroemia_loudonii,,,,,,,,100,"Nakhon Sawan (tiếng Thái: นครสวรรค์, phiên âm: Na-khon Xa-van) là một tỉnh miền Bắc của Thái Lan. Các tỉnh giáp giới (từ phía bắc theo chiều kim đồng hồ): Kamphaeng Phet, Phichit, Phetchabun, Lopburi, Sing Buri, Chainat, Uthai Thani và Tak. Tên gọi Nakhon Sawan có nghĩa Thành phố thiên đàng."
2535,Lagerstroemia_tomentosa,Plantae,,"Angiospermae
Eudicots",Myrtales,Lythraceae,Lagerstroemia,L. tomentosa,100,Bằng lăng lông hay còn gọi săng lẻ (danh pháp khoa học: Lagerstroemia tomentosa) là một loài thực vật có hoa trong họ Lythraceae. Loài này được C. Presl mô tả khoa học đầu tiên năm 1844.
2536,Laggera_alata,Plantae,,"Angiospermae
Eudicots
Asterids",Asterales,Asteraceae,Laggera,L. alata,100,"Cúc lục lăng hay linh đan hôi (danh pháp hai phần: Laggera alata), là một loài thực vật thuộc họ Cúc (Asteraceae). Loài này được (D.Don) Sch.Bip. ex Oliv. mô tả khoa học đầu tiên năm 1873."
2537,Laggera_intermedia,Plantae,,"Angiospermae
Eudicots",Asterales,Asteraceae,Laggera,L. intermedia,100,Laggera intermedia là một loài thực vật có hoa trong họ Cúc. Loài này được C.B.Clarke mô tả khoa học đầu tiên.
2538,Lannea_coromandelica,Plantae,,"Angiospermae
Eudicots
Rosids",Sapindales,Anacardiaceae,Lannea,L. coromandelica,100,Lannea coromandelica là một loài thực vật có hoa trong họ Đào lộn hột. Loài này được (Houtt.) Merr. mô tả khoa học đầu tiên năm 1938.
2539,Lantana_camara,Plantae,,"Angiospermae
Eudicots
Asterids",Lamiales,Verbenaceae,Lantana,L. camara,100,"Bông ổi hay còn gọi Trâm ổi, thơm ổi, ổi tàu, hoa ngũ sắc, trâm hôi, tứ thời, tứ quý (danh pháp hai phần: Lantana camara) là một loài thực vật thuộc họ Cỏ roi ngựa (Verbenaceae)."
2540,Laportea_disepala,Plantae,,"Angiospermae
Eudicots",Rosales,Urticaceae,Laportea,L. disepala,100,Laportea disepala là loài thực vật có hoa trong họ Tầm ma. Loài này được (Wedd.) Chew mô tả khoa học đầu tiên năm 1965.
2541,Laportea_thorelii,,,,,,,,100,"Mán nam, han tím hay mán Thorel (danh pháp khoa học: Dendrocnide stimulans) là loài thực vật có hoa trong họ Tầm ma. Loài này được Carl Linnaeus Trẻ mô tả khoa học đầu tiên năm 1782 dưới danh pháp Urtica stimulans. Năm 1965 Chew chuyển nó sang chi Dendrocnide."
2542,Lasianthus_fansipanensis,,,,,,,,100,Chi Xú hương (danh pháp khoa học: Lasianthus) là một chi thực vật có hoa trong họ Thiến thảo (Rubiaceae).
2543,Lasiococca_chanii,Plantae,,"Angiospermae
Eudicots",Malpighiales,Euphorbiaceae,Lasiococca,L. chanii,100,Lasiococca chanii là một loài thực vật có hoa trong họ Đại kích. Loài này được Thin mô tả khoa học đầu tiên năm 1986.
2544,Lasiococca_locii,Plantae,,"Angiospermae
Eudicots",Malpighiales,Euphorbiaceae,Lasiococca,L. locii,98,Lasiococca locii là một loài thực vật có hoa trong họ Đại kích. Loài này được Thin mô tả khoa học đầu tiên năm 1986.
2545,Launaea_acaulis,Plantae,,"Angiospermae
Eudicots",Asterales,Asteraceae,Launaea,L. acaulis,100,Launaea acaulis là một loài thực vật có hoa trong họ Cúc. Loài này được (Roxb.) Kerr mô tả khoa học đầu tiên năm 1936.
2546,Launaea_sarmentosa,Plantae,,"Angiospermae
Eudicots",Asterales,Asteraceae,Launaea,L. sarmentosa,100,"Rau Sa sâm hay còn gọi sa sâm nam, hải cúc trườn (danh pháp khoa học: Launaea sarmentosa) là một loài thực vật có hoa trong họ Cúc. Loài này được (Willd.) Sch.Bip. ex Kuntze mô tả khoa học đầu tiên năm 1891."
2547,Lawsonia_inermis,Plantae,,,Myrtales,Lythraceae,Lawsonia,L. inermis,100,"Cây móng tay, tên khoa học là Lawsonia inermis, là một loài thực vật được Carl von Linné mô tả khoa học lần đầu vào năm 1753.. Chúng còn có tên là cây lá móng tay, cây thuốc mọi, móng tay nhuộm, lá móng, lựu mọi, thuốc mọi lá lựu, chỉ giáp hoa, phương tiên hoa, tán mạt hoa, khau thiên (Tày), kok khau khao youak, khoa thiên (Lào).
Cây có thân nhỏ (đường kính 3 cm), cao từ 50–100 cm, da nhẵn (mọc hoang có gai ở đầu cành, không nhọn sắc). Lá mọc đối, cuống ngắn, phiến lá đơn, nhỏ, hình trứng bầu dục nhưng đầu, cuống hơi dẹp, lá dài từ 3–7 cm, rộng 2–4 cm. Cụm hoa hình chùy mọc ở đầu cành, gồm nhiều hoa nhỏ màu trắng, đỏ hay vàng, thơm. Quả mang hình cầu to bằng quả hạt tiêu, không nứt, phía cuống có đài bao bọc, có 4 cạnh dọc, 4 ngăn, trong chứa nhiều hạt nhỏ, có cạnh góc, vỏ hạt dai, rất dày, phía dưới xốp.
Cây mọc hoang và được trồng khắp nơi làm cảnh, hoặc làm bờ rào. Bộ phận dùng: lá, vỏ, thân, rễ.
Trước đây ở Việt Nam, nhân dân thường dùng lá móng tay để nhuộm đỏ móng tay, móng chân cho dịp tết Đoan Ngọ (mùng 5 tháng 5), hiện nay ít trồng và sử dụng."
2548,Lecanthus_peduncularis,Plantae,,"Angiospermae
Eudicots",Rosales,Urticaceae,Lecanthus,L. peduncularis,100,Lecanthus peduncularis là loài thực vật có hoa trong họ Tầm ma. Loài này được (Wall. ex Royle) Wedd. mô tả khoa học đầu tiên năm 1869.
2549,Leea_aequata,Plantae,,"Angiospermae
Eudicots",Vitales,Vitidaceae,Leea,L. aequata,100,Leea aequata là một loài thực vật hai lá mầm trong họ Nho. Loài này được L. miêu tả khoa học đầu tiên năm 1767.
2550,Leea_guineensis,Plantae,,"Angiospermae
Eudicots",Vitales,Vitidaceae,Leea,,100,Leea guineensis là một loài thực vật hai lá mầm trong họ Nho. Loài này được G.Don miêu tả khoa học đầu tiên năm 1831.
2551,Leea_rubra,Plantae,,"Angiospermae
Eudicots",Vitales,Vitidaceae,Leea,L. rubra,100,Leea rubra là một loài thực vật hai lá mầm trong họ Nho. Loài này được Blume ex Spreng. miêu tả khoa học đầu tiên năm 1824.
2552,Leersia_hexandra,Plantae,,"Angiospermae
Monocots",Poales,Poaceae,Leersia,L. hexandra,100,"Leersia hexandra (cỏ bấc, cỏ nùng nùng, cỏ môi) là một loài cỏ lưu niên trong họ Hòa thảo. Loài này được Olof Swartz mô tả khoa học đầu tiên năm 1788."
2553,Lemmaphyllum_microphyllum,Plantae,,,Polypodiales,Polypodiaceae,Lemmaphyllum,L. microphyllum,100,Lemmaphyllum microphyllum là một loài thực vật có mạch trong họ Polypodiaceae. Loài này được C. Presl miêu tả khoa học đầu tiên năm 1851.
2554,Lemnaphyllum_microphyllum,,,,,,,,100,Lemmaphyllum microphyllum là một loài thực vật có mạch trong họ Polypodiaceae. Loài này được C. Presl miêu tả khoa học đầu tiên năm 1851.
2555,Lemna_japonica,Plantae,,"Angiospermae
Monocots",Alismatales,Araceae,Lemna,L. japonica,100,Bèo cám Nhật Bản (danh pháp khoa học: Lemna japonica) là một loài thực vật có hoa trong họ Ráy (Araceae). Loài này được Landolt mô tả khoa học đầu tiên năm 1980.
2556,Lemna_tenera,Plantae,,"Angiospermae
Monocots",Alismatales,Araceae,Lemna,L. tenera,100,Bèo nhọn (danh pháp khoa học: Lemna tenera) là một loài thực vật có hoa trong họ Ráy (Araceae). Loài này được Kurz mô tả khoa học đầu tiên năm 1871.
2557,Leonotis_nepetifolia,Plantae,,"Angiospermae
Eudicots",Lamiales,Lamiaceae,Leonotis,L. nepetifolia,100,Leonotis nepetifolia là một loài thực vật có hoa trong họ Hoa môi. Loài này được (L.) R.Br. mô tả khoa học đầu tiên năm 1811.
2558,Leonurus_japonicus,Plantae,,"Angiospermae
Eudicots
Asterids",Lamiales,Lamiaceae,Leonurus,L. japonicus,100,"Ích mẫu (từ chữ 益母草 trong tiếng Trung nghĩa là ích mẫu thảo), danh pháp khoa học Leonurus japonicus, là một loài cây thân thảo có hoa, vốn sinh trưởng ở vùng Đông Á từ Nhật Bản, Hàn Quốc tới Campuchia, nhưng ngày nay đã được di thực tới nhiều nơi trên thế giới. Y học cổ truyền Trung Quốc sử dụng loài thực vật này làm thuốc chữa các bệnh thuộc tâm, can và bàng quang. Y học hiện đại đặt tên dược cho cỏ ích mẫu là Herba leonuri.
Toàn bộ cây cỏ ích mẫu thu hái vào dịp trổ hoa có thể dùng làm thuốc hoạt huyết và chống ứ trệ, lợi tiểu và chữa phù. Y học Trung Quốc dùng cỏ ích mẫu để chữa các bệnh về phụ sản như rối loạn kinh nguyệt, ít kinh, vô kinh, đau bụng sau đẻ. Ngoài ra còn dùng để chữa sưng và đau do chấn thương ngoài. Cỏ Ích mẫu có vị cay, đắng. Tính hơi hàn."
2559,Lepidosperma_chinense,Plantae,,"Angiospermae
Monocots",Poales,Cyperaceae,Lepidosperma,L. chinense,95,Lepidosperma chinense là loài thực vật có hoa trong họ Cói. Loài này được Nees & Meyen ex Kunth mô tả khoa học đầu tiên năm 1837.
2560,Lepironia_articulata,Plantae,,"Angiospermae
Monocots
Commelinids",Poales,Cyperaceae,Lepironia,L. articulata,100,"Cây cỏ bàng còn gọi là bàng, cói bàng, có danh pháp hai phần là Lepironia articulata, thuộc chi Lepironia nằm trong họ Cói (Cyperaceae). Bàng có thân dưới (căn hành) cứng, to khoảng 8–10 mm, nằm ngang trong bùn. Thân cỏ bàng thẳng đứng cao khoảng 1 m, có ngấn ngang, đáy có 3-4 bẹ, bao nhau cao 15–20 cm. Gié hoa ở chót thân (tức là ngọn) cao khoảng 1,5-2,0 cm và rộng đến 1 cm. Bông quả cao 3–4 mm. Vòi nhụy chẻ hai, trổ bông quanh năm. Cỏ bàng thường mọc ở vùng đất ngập nước phèn chua, nhiễm mặn như ở Long An, Đồng Tháp, Hà Tiên.."
2561,Lepisanthes_rubiginosa,Plantae,,"Angiospermae
Eudicots",Sapindales,Sapindaceae,Lepisanthes,L. rubiginosa,100,Lepisanthes rubiginosa là một loài thực vật có hoa trong họ Bồ hòn. Loài này được (Roxb.) Leenh. mô tả khoa học đầu tiên năm 1969.
2562,Lepisorus_kuchenensis,Plantae,,,Polypodiales,Polypodiaceae,Lepisorus,L. kuchenensis,100,Lepisorus kuchenensis là một loài thực vật có mạch trong họ Polypodiaceae. Loài này được (Y.C. Wu) Ching miêu tả khoa học đầu tiên năm 1933.
2563,Lepisorus_macrosphaerus,Plantae,,,Polypodiales,Polypodiaceae,Lepisorus,L. macrosphaerus,98,Lepisorus macrosphaerus là một loài thực vật có mạch trong họ Polypodiaceae. Loài này được (Baker) Ching miêu tả khoa học đầu tiên năm 1933.
2564,Lepisorus_sublinearis,Plantae,,,Polypodiales,Polypodiaceae,Lepisorus,L. sublinearis,100,Lepisorus sublinearis là một loài thực vật có mạch trong họ Polypodiaceae. Loài này được (Baker ex Takeda) Ching miêu tả khoa học đầu tiên năm 1933.
2565,Lepisorus_subrostratus,Plantae,,,Polypodiales,Polypodiaceae,Lepisorus,L. subrostratus,100,Lepisorus subrostratus là một loài dương xỉ trong họ Polypodiaceae. Loài này được C. Chr. & Tardieu mô tả khoa học đầu tiên.Danh pháp khoa học của loài này chưa được làm sáng tỏ.
2566,Lepisorus_tosaensis,Plantae,,,Polypodiales,Polypodiaceae,Lepisorus,L. tosaensis,100,Lepisorus tosaensis là một loài thực vật có mạch trong họ Polypodiaceae. Loài này được (Makino) H. Itô miêu tả khoa học đầu tiên năm 1935.
2567,Lepistemon_binectariferum,Plantae,,"Angiospermae
Eudicots",Solanales,Convolvulaceae,Lepistemon,,100,Lepistemon binectariferus là một loài thực vật có hoa trong họ Bìm bìm. Loài này được (Wall.) Kuntze mô tả khoa học đầu tiên năm 1891.
2568,Leptaspis_urceolata,Plantae,,"Angiospermae
Monocots",Poales,Poaceae,Leptaspis,L. urceolata,100,Leptaspis urceolata là một loài thực vật có hoa trong họ Hòa thảo. Loài này được (Roxb.) R.Br. mô tả khoa học đầu tiên năm 1838.
2569,Leptochilus_cantoniensis,Plantae,,,Polypodiales,Polypodiaceae,Leptochilus,L. cantoniensis,100,Leptochilus cantoniensis là một loài thực vật có mạch trong họ Polypodiaceae. Loài này được (Baker) Ching miêu tả khoa học đầu tiên năm 1933.
2570,Leptochilus_hemitomus,,,,,,,,98,Leptochilus × hemitomus là một loài dương xỉ trong họ Polypodiaceae. Loài này được Noot. mô tả khoa học đầu tiên năm 1997.Danh pháp khoa học của loài này chưa được làm sáng tỏ.
2571,Leptochilus_macrophyllus,Plantae,,,Polypodiales,Polypodiaceae,Leptochilus,L. macrophyllus,100,Leptochilus macrophyllus là một loài thực vật có mạch trong họ Polypodiaceae. Loài này được (Blume) Noot. miêu tả khoa học đầu tiên.
2572,Leptochloa_chinensis,Plantae,,"Angiospermae
Monocots",Poales,Poaceae,Leptochloa,L. chinensis,108,Leptochloa chinensis là một loài thực vật có hoa trong họ Hòa thảo. Loài này được (L.) Nees mô tả khoa học đầu tiên năm 1824.
2573,Leptochloa_panicea,Plantae,,"Angiospermae
Monocots",Poales,Poaceae,Leptochloa,L. panicea,99,Leptochloa panicea là một loài thực vật có hoa trong họ Hòa thảo. Loài này được (Retz.) Ohwi mô tả khoa học đầu tiên năm 1941.
2574,Leptomischus_primuloides,Plantae,,"Angiospermae
Eudicots",Gentianales,Rubiaceae,Leptomischus,L. primuloides,100,Leptomischus primuloides là một loài thực vật có hoa trong họ Thiến thảo. Loài này được Drake mô tả khoa học đầu tiên năm 1895.
2575,Leptopus_australis,Plantae,,"Angiospermae
Eudicots",Malpighiales,Phyllanthaceae,Leptopus,L. australis,93,Leptopus australis là một loài thực vật có hoa trong họ Diệp hạ châu. Loài này được (Zoll. & Moritzi) Pojark. mô tả khoa học đầu tiên năm 1960.
2576,Lespedeza_davurica,Plantae,,"Angiospermae
Eudicots
Rosids",Fabales,Fabaceae,Lespedeza,L. davurica,100,Lespedeza davurica là một loài thực vật có hoa trong họ Đậu. Loài này được (Laxm.) Schindl. miêu tả khoa học đầu tiên.
